Sílaba|Ejemplos                                  |Observaciones
hien  |hienden hiende hiéndala                   |
hier  |hierba hierva hiérvala                    |
hies  |enhiesta                                  |
hil   |hilván                                    |
him   |himno                                     |
hin   |hindú hincha ahínco                       |
hioi  |hioides                                   |
hip   |hippies hipnotismo hipsométrico           |
hir   |menhir hirsuto hirviente                  |
his   |hispano historia histología               |
ho    |hoja ahora hórreo                         |
hol   |holgar alcohol holgorio                   |
hom   |hombre hombro cohombro                    |
hon   |honra hondo deshónrala                    |
hon   |zahón alhóndiga deshónrala                |
hor   |horno horchata ahórcalo                   |
hos   |hostia hostil inhóspito                   |
hoy   |hoy                                       |
hoz   |hoz                                       |
hu    |hubo humo húmedo                          |
hua   |nahua cacahuales tiahuanaco               |
hual  |cacahual                                  |
huar  |chahuar                                   |
huas  |náhuas                                    |
huatl |náhuatl                                   |
hue   |hueco hueso deshuésalo                    |
huel  |huelga tehuelche huélganse                |
huen  |pehuenche                                 |
huer  |huerto huérfano                           |
hues  |huestes huestecos huésped                 |
hui   |huida huija huían                         |
huid  |huid                                      |
huin  |huincha                                   |
huir  |huir                                      |
hun   |hundir húngaro barahúnda                  |
hur   |hurtar hurgar tahúr                       |
hus   |husmeador                                 |
huy   |huy                                       |
i     |ira irá caído                             |
ia    |iatrogenia                                |
ic    |ictericia ictiología                      |
id    |id oíd                                    |
ig    |ignorar ignición ígneo                    |
il    |raíl                                      |
im    |impío imperio ímpetu                      |
in    |inmundo injusto índice                    |
ins   |insta instala instruye                    |
io    |iodo iota iones                           |
ion   |ion                                       |
ip    |ipso                                      |
ir    |ir irguió reír                            |
is    |isla islámica leíste                      |
ist   |istmo ístmico                             |
ix    |ixtle                                     |
iz    |izquierdo raíz maíz                       |
ja    |teja hija dejáronme                       |
jac   |jactarse                                  |
jad   |dejad rajad dibujad                       |
jai   |jaiba elijaisos elijáis                   |
jais  |lijaislo elijaislo dejáis                 |
jal   |ojal concejal hojáldrala                  |
jam   |jamba enjambre                            |
jan   |dejan semejan dejándola                   |
jar   |dejar alejar cuajársele                   |
jas   |rejas ovejas lijás                        |
jau   |jaula jauja enjáulala                     |
jaz   |jazmín                                    |
jazz  |jazz                                      |
je    |dije ajeno trabajé                        |
jec   |interjección                              |
jel   |mojel bajel                               |
jem   |ejemplo                                   |
jen   |dejen tejen jején                         |
jer   |mujer ejercer ejército                    |
jes   |gajes bojes majestad                      |
jez   |vejez enrojezca envejézcase               |
ji    |ejido aljibe bajísimo                     |
jia   |hemiplejia                                |
jic   |mujic                                     |
jie   |ujieres tejiera injiérala                 |
jien  |tejiendo crujiente granujiento            |
jier  |ujier                                     |
jil   |perejil concejil jilguero                 |
jin   |jingoísmo trajín abrojín                  |
jio   |tejiolo tejió                             |
jir   |crujir                                    |
jis   |cajista dijiste tejístelo                 |
jit   |jiujitsu                                  |
jiu   |jiujitsu                                  |
jo    |dijo hijo alejó                           |
joc   |jockey                                    |
jol   |mújol frijol jolgorio                     |
jon   |ajonje cajoncito cajón                    |
jor   |mejor jornal ajorca                       |
jos   |ojos hijos rojos                          |
ju    |judío jugar júralo                        |
jua   |juanete enjuagar achajuanarse             |
juan  |juan donjuán                              |
juar  |ajuar                                     |
jue   |juego jueces juégala                      |
juer  |juerga                                    |
juez  |juez                                      |
jui   |juicio benjuí                             |
jun   |junco juntar júntense                     |
jur   |menjurje                                  |
jus   |justo ajustar desbarajuste                |
juz   |juzgar                                    |
ka    |ka kaaba kayak                            |
kai   |káiser                                    |
kan   |kan kantiano                              |***dudosa
kap   |kappa                                     |
ke    |kefir kerosén                             |
kel   |kelvin                                    |
ker   |kermés                                    |
key   |jockey                                    |
ki    |kilogramo samarskita harakiri             |
kin   |vikingo ranking parkinsonismo             |
kios  |kiosco                                    |
kir   |kirguís                                   |
kis   |pakistaní                                 |
kle   |pickle                                    |
ko    |uzbeko                                    |
kos   |uzbekos                                   |
krem  |krem                                      |
kril  |kril                                      |
krill |krill                                     |
ku    |kikuyo                                    |
kua   |makua                                     |
kur   |kurdo                                     |
ky    |whisky                                    |
la    |la pela lávese                            |
lac   |lactosa agalactia lácteo                  |
lad   |volad señalad                             |
lag   |estalagmita                               |
lai   |laico lilaila balalaica                   |
lais  |igualáis                                  |
lal   |cefalalgia                                |
lam   |alambre lampiño relámpago                 |
lan   |vuelan lanza catalán                      |
lap   |lapso colapso colápsase                   |
lar   |largo solar rebelársele                   |
las   |las alas elástico                         |
lau   |laudo laurel láurea                       |
laus  |balaustre                                 |
lax   |relax                                     |
lay   |balay palay achalay                       |
laz   |falaz solaz pelazga                       |
le    |le dile molécula                          |
lec   |lector lección eléctrico                  |
lech  |crónlech                                  |
lef   |alef                                      |
lei   |deleita desleirá aculeiforme              |
leis  |moléis burléis inmoléis                   |
lem   |solemne lemming lemniscata                |
len   |salen lengua belén                        |
lep   |epilepsia catalepsia epiléptico           |
ler   |oler moler alérgeno                       |
les   |dales males tirolés                       |
let   |valet chalet                              |
leu   |leuda aleurona seléucida                  |
lex   |sílex télex escólex                       |
ley   |ley                                       |
lez   |lezna adolezca envilézcala                |
li    |libera hálito valían                      |
lia   |familia afiliar araliáceo                 |
liai  |liaisos liáisosla                         |
liais |liaisla liáis                             |
lial  |filial                                    |
lian  |alianza alianzas aliándose                |
liar  |liar auxiliar liársela                    |
lias  |alias liaste liás                         |
lib   |molibdeno                                 |
lic   |lictor delictivo                          |
lid   |lid salid adalid                          |
lie   |saliere relieve saliéronse                |
lien  |lienzo aliento valiéndose                 |
lier  |atelier                                   |***dudosa
lies  |alies lieslo poliéster                    |
lig   |maligno lignito                           |
lim   |limbo limpio olímpico                     |
limp  |palimpsesto                               |
lin   |relincho linfático cilíndrico             |
lio   |auxilio evangelio dolió                   |
lion  |ilion rebelión familión                   |
lios  |palios folios concilios                   |
lip   |elipse eucalipto apocalíptica             |
lir   |salir pulir salírsele                     |
lis   |lis lista novelístico                     |
lix   |félix                                     |
liz   |cáliz feliz desliz                        |
lla   |ella llaga halláronlo                     |
llad  |aullad                                    |
llais |halláis degolláis                         |
llan  |halla huella capellán                     |
llar  |hallar millar hollar                      |
llas  |ellas sillas rodillas                     |
llay  |quillay                                   |
llaz  |hallazgo hallazgos                        |
lle   |llega llena hallé                         |
lleis |holléis halléis                           |
llen  |hallen allende engulléndolo               |
ller  |taller bachiller canciller                |
lles  |calles valles marsellés                   |
llet  |ballet                                    |
llets |ballets                                   |
llez  |sencillez amarillez embellézcala          |
lli   |rollizo acullico bellísimo                |
llier |cuellierguidas                            |
llin  |hollín                                    |
llir  |bullir mullir engullir                    |
llis  |tallista medallista gallística            |
lliz  |pellizco sobrepelliz pellízcala           |
llo   |lloro caballo selló                       |
llon  |agallón pabellón bermellón                |
llor  |mallorquín                                |
llos  |ellos tallos sellos                       |
llu   |lluvia lluvias agalludo                   |
llue  |llueve polluelo lluévame                  |
lly   |rally                                     |
lo    |lo colocar asoló                          |
loi   |coloide celuloide metaloide               |
loj   |reloj                                     |
lom   |lombriz lombardo colombiano               |
lon   |lonja longitud burlón                     |
lop   |cefalóptero                               |
lor   |olor calor xilórgano                      |
lord  |lord milord                               |
los   |los velos solos                           |
loz   |veloz velozmente                          |
lu    |luna luto lúcido                          |
lua   |evaluación valuados                       |
luar  |valuar avaluar baluarte                   |
luc   |luctuoso                                  |
lud   |alud salud talud                          |
lue   |luego silueta valuéselo                   |
luen  |luengo                                    |
lues  |valueslo valués                           |
lui   |diluido sanluiseño                        |
luir  |diluir diluírsela                         |
luis  |luis                                      |
lum   |lumbre calumnia colúmpialo                |
lun   |voluntad lunfardo                         |
lup   |voluptuoso                                |
lur   |palurdo metalurgia metalúrgicos           |
lus   |lustre ilustre molusco                    |
luz   |luz andaluz lúzcala                       |
m     |mnemotecnia                               |
ma    |alma malo mágico                          |
mach  |mach                                      |
mad   |clamad llamad aclamad                     |
mag   |magma magnitud mágnum                     |
mai   |amainar maizal maitines                   |
mais  |amáis temáis llamáis                      |
mal   |mal animal esmáltalo                      |
mam   |mampara camambú mampuesto                 |
man   |aman manda romántico                      |
mar   |mar amar mártir                           |
mas   |mas temas jamás                           |
match |match                                     |***dudosa
mau   |mausoleo maula máuser                     |
maun  |extremaunción                             |
max   |clímax maxvelio maxwell                   |
maz   |mazmorra contumaz mazdeísmo               |
me    |me ramera llamé                           |
mec   |humectar                                  |
med   |comed temed                               |
meis  |maméis teméis derraméis                   |
mel   |rímel jamelgo amélgala                    |
mem   |mem membrana desmémbrala                  |
men   |amen temen coméntalo                      |
mens  |menstruar                                 |
mer   |comer merced mérmala                      |
mes   |mes ames doméstico                        |
mey   |mamey                                     |
mez   |mezcla mezquita adormézcalo               |
mi    |mi comida mínimo                          |
mia   |infamia vendimia semiárido                |
mial  |gremial                                   |
mian  |rumian premian premiándolo                |
miar  |premiar agremiar encomiar                 |
mias  |anemias infamias encomiástico             |
miau  |miau                                      |
mic   |micción                                   |
mie   |miedo temiera hemiédrico                  |
miel  |miel mielga aguamiel                      |
miem  |miembro                                   |
mien  |miente simiente miéntele                  |
mier  |mierda semierguido miércoles              |
mies  |mies simiesco semiesférico                |
mig   |amígdala amigdaláceo                      |
mil   |mil humilde verosímil                     |
mim   |mimbre almimbar                           |
min   |mintió domingo jazmín                     |
mio   |premio encomio comió                      |
mion  |acromion camión                           |
mios  |premios encomios gremios                  |
mip   |hemípteros                                |
mir   |dormir redimir imprimírselo               |
mis   |mis mismo consumís                        |
miur  |demiurgo                                  |
mix   |mixta mixtecos                            |
miz   |tamiz almizclero almízclala               |
mo    |olmo como formó                           |
moc   |décimoctavo                               |
mog   |smog                                      |
mohi  |amohinar                                  |
moi   |moisés etmoides                           |
mol   |mol molde desmóldelo                      |
mon   |monte montón timón                        |
mons  |monstruo                                  |
mop   |hemoptisis                                |
mor   |amor temor mórbido                        |
mos   |vemos olmos atmósfera                     |
mu    |muro mucho músico                         |
mua   |muaré                                     |
mud   |almud                                     |
mue   |muera muele conmuévete                    |
muer  |muerte muerde muérdelo                    |
mues  |muesca muestra amuéscalo                  |
muf   |muftí                                     |
mul   |multa multitud múltiples                  |
mum   |máximum mínimum                           |
mun   |mundo inmundo común                       |
mur   |fémur lémur amúrcalo                      |
mus   |musgo muslo músculo                       |
mut   |mamut acimut vermut                       |
muy   |muy                                       |
muz   |altramuz                                  |
na    |una lana análogo                          |
nac   |inactivo inaccesible                      |
nad   |sonad tornad allanad                      |
naf   |nafta                                     |
nai   |naipes nailon donaire                     |
nais  |ayunáis camináis contamináis              |
nal   |nalga banal jornal                        |
nam   |anamnesis chinampa sonámbulo              |
nan   |suenan ganancia inclinándose              |
nap   |inapto delfináptero                       |
nar   |abonar tornar anárquico                   |
nas   |unas lunas monástico                      |
nau   |inaudito aeronauta náusea                 |
nay   |anay                                      |
naz   |tenaz pertinaz názcame                    |
ne    |nene pone profané                         |
nec   |conecta senectud anécdota                 |
ned   |tened poned disponed                      |
nei   |idoneidad simultaneidad homogeneidad      |
neis  |gneis ponéis afanéis                      |
nel   |tonel timonel coronel                     |
nem   |inempleado                                |***dudosa
nen   |ponen tienen vienen                       |
nep   |neptunio inepto                           |
ner   |tener poner enérgico                      |
nes   |tienes riñones japonés                    |
neu   |neutro neurosis aneurisma                 |
nex   |inexperto inexpugnable inexcusable        |
ney   |araguaney                                 |
nez   |amanezca enternezca guarnézcala           |
ni    |ni nido venía                             |
nia   |actinia calumnia maniático                |
nial  |genial venial colonial                    |
nian  |minian ingenian testimonian               |
niar  |congeniar calumniar testimoniar           |
nias  |etnias colonias lacinias                  |
nic   |picnic nictagínea nictálope               |
nid   |unid venid definid                        |
nie   |nieve nieto uniéronse                     |
nien  |poniente teniendo uniéndolo               |
nier  |vernier                                   |
nies  |minies congenies siniestro                |
nietzs|nietzschismo                              |***dudosa
nig   |enigma benigno enigmáticos                |
nil   |varonil juvenil aguamanil                 |
nim   |nimbo nímbala                             |
nin   |ninfa ningún penínsulas                   |
nio   |genio dominio reunió                      |
nion  |opinión reunión comunión                  |
nios  |ingenios designios escarnios              |
nip   |afanípteros                               |
nir   |unir venir unírsele                       |
nis   |viniste ministro venís                    |
nit   |cenit                                     |
niu   |antimoniuro                               |
nium  |pandemónium                               |
nius  |nonius                                    |
nix   |ónix fénix                                |
niz   |codorniz barniz                           |
no    |no sino llenó                             |
nob   |esnob inobservancia                       |
noc   |nocturno equinoccio noctámbulo            |
noi   |conoide monoico adenoideo                 |
nol   |penol metanol inolvidable                 |
nom   |nombre                                    |
non   |non canon esternón                        |
nop   |sinopsis himenóptero                      |
nor   |norte menor nórdico                       |
nos   |nos unos agnóstico                        |
nov   |novgorod                                  |
noz   |conozca albornoz conózcalo                |
nu    |nube anula insinúa                        |
nua   |anuario atenuar continua                  |
nual  |anual manual                              |
nuan  |atenuante insinuando insinuándose         |
nuar  |atenuar insinuar continuar                |
nuas  |continuas anuas                           |
nue   |nuera nueve continué                      |
nuel  |manuel                                    |
nuen  |anuencia minuendo amanuense               |
nues  |tenues nuestro continués                  |
nuez  |nuez                                      |
nui   |genuino disminuiré disminuí               |
nuir  |disminuir                                 |
nul   |penúltimo                                 |
num   |penumbra                                  |
nun   |nunca inunda ranúnculo                    |
nuo   |continuo sinuoso continuó                 |
nuos  |ingenuos continuos                        |
nup   |nupcias                                   |
nur   |conurbano inurbanidad                     |
nus   |manuscrito minusválido minúsculo          |
nuz   |ajenuz                                    |
ña    |caña viña señálalo                        |
ñac   |coñac                                     |
ñad   |señad soñad enseñad                       |
ñai   |astriñaisos constriñaisos astriñáisosla   |
ñais  |astriñaisla ciñaisla enseñáis             |
ñal   |señal puñal albañal                       |
ñan   |bañan engañan gañán                       |
ñar   |soñar acuñar enseñártela                  |
ñas   |uñas peñas ciñás                          |
ñe    |ciñe tañerá engañé                        |
ñeis  |engañéis ordeñéis                         |
ñen   |riñen ciñen ciñéndolo                     |
ñer   |tañer atañer                              |
ñes   |leñes empeñes montañés                    |
ñez   |ñoñez niñez enroñézcala                   |
ñi    |ceñiré reñiré compañía                    |
ñid   |ceñid teñid tañid                         |
ñil   |añil albañil                              |
ñir   |reñir teñir ceñir                         |
ñis   |bañistas isleñismos brasileñismos         |
ño    |año niño enseñó                           |
ñol   |pañol español                             |
ñon   |cañoncito riñón piñón                     |
ñor   |señor ruiseñor monseñor                   |
ños   |años caños niños                          |
ñu    |añublo cañuto greñudo                     |
ñue   |arañuela pañuelo abuñuélalo               |
ñus   |apañuscar                                 |
o     |o ora rodeó                               |
ob    |objeto observar óbvialo                   |
obs   |obsceno obstruido obstante                |
oc    |octavo occidente occidental               |
of    |oftalmia                                  |
og    |geognosia                                 |
oh    |oh ohmio                                  |
ohm   |ohm                                       |
oi    |oiga óigalo                               |
ol    |olmo olvido olfato                        |
om    |ombúes ombligo ómnibus                    |
on    |onda once panteón                         |
op    |optar optimizar óptico                    |
or    |orden ortiga órbita                       |
os    |os veos ósmosis                           |
ov    |ovni                                      |
ox    |oxhídrica                                 |
p     |pseudo psicología pneumonía               |
pa    |para padre pábulo                         |
pac   |pacto pactará compacto                    |
pad   |ocupad                                    |
paf   |paf                                       |
pai   |paisano paisaje sepáiselo                 |
pais  |ocupaislo sepaislo quepáis                |
pal   |palmo espalda pálpito                     |
pam   |pampa pamplina pámpano                    |
pan   |pan panza páncreas                        |
par   |par parte apártate                        |
pas   |pasto ropas compás                        |
pau   |pauta pausa paulatino                     |
pay   |curupay                                   |
paz   |paz capaz apázcala                        |
pe    |peca pela pésimo                          |
pec   |aspecto respectiva expectativa            |
pecs  |cópecs                                    |
ped   |césped huésped                            |
pei   |peines peinado europeizar                 |
peis  |preocupéis                                |
pel   |papel tropel peldaños                     |
pen   |pensé pendón péndulo                      |
pep   |apepsia pepsina péptico                   |
per   |perfume permite pérdida                   |
pers  |perspicaz perspectiva superstición        |
pes   |naipes pescado canapés                    |
peu   |terapéutico                               |
pez   |pez entorpezca entorpézcala               |
pi    |pino piso espíritu                        |
pia   |copia piala asclepiádeas                  |
piad  |limpiad                                   |
pial  |pial turpial marsupial                    |
pian  |copian limpian apropiándola               |
piar  |espiar limpiar apropiar                   |
pias  |rupias propias limpiaste                  |
piau  |limpiauñas                                |
pic   |pickle pickup pictóricos                  |
pid   |áspid prorrumpid                          |
pie   |pie pieza limpié                          |
piel  |piel                                      |
pien  |piensa sapiente rompiéndolo               |
pier  |pierda pierna despiértate                 |
pies  |pies limpies puntapiés                    |
pig   |pigmea pigmento pignoración               |
pil   |pilcha piltrafa píldora                   |
pim   |pimpante pimpollo pimpinela               |
pin   |pinta pintes chapín                       |
pio   |limpio propio rompió                      |
pion  |sarampión escorpión                       |
pios  |limpios propios principios                |
pir   |interrumpir prorrumpir interrumpir        |
pis   |pistola supiste epístola                  |
piz   |lápiz tapiz pizca                         |
pla   |plata plaza plácido                       |
plais |supláis cumpláis templáis                 |
plan  |plan planta contemplándola                |
planc |plancton                                  |
plar  |templar ejemplar contemplar               |
plas  |plasma aplasta plástico                   |
plau  |aplaude aplauso                           |
plaz  |plazca complazca complázcala              |
ple   |simple cumple apoplético                  |
plec  |plectro plectognato                       |
plei  |pleito pleitesía                          |
plen  |cumplen suplente terraplén                |
ples  |simples triples múltiples                 |
pleu  |pleura                                    |
plex  |dúplex                                    |
pli   |aplica cumplirá explícito                 |
plia  |amplia panoplia                           |
plian |ampliando ampliándose                     |
pliar |ampliar                                   |
plias |amplias panoplias ampliás                 |
plie  |pliego espliego pliégalo                  |
plien |supliendo cumpliendo cumpliéndose         |
plies |ampliesla ampliés                         |
plin  |plinto esplín poplín                      |
plio  |amplio plioceno cumplió                   |
plios |amplios                                   |
plir  |suplir cumplir                            |
plis  |cumpliste cumplís                         |
plo   |soplo plomo contempló                     |
plon  |soplón ramplón simplón                    |
plos  |soplos templos ejemplos                   |
plot  |complot                                   |
plu   |pluma plugo plúgome                       |
plum  |plumbagíneo plúmbeo                       |
plus  |plus                                      |
po    |pone poco disipó                          |
poi   |tipoi antropoide                          |
pol   |polvo polca pólvora                       |
pom   |pompa pompeyano                           |
pon   |ponga pondera arpón                       |
pop   |pop                                       |
por   |por porfía repórter                       |
pos   |pos topos apóstol                         |
post  |post postdata                             |
poy   |tipoy                                     |
pra   |compra pradera temprana                   |
prac  |practica práctica                         |
prad  |comprad                                   |
prag  |pragmatismo                               |
pran  |comprando compran                         |
prar  |comprar                                   |
pras  |compras                                   |
pre   |presa siempre prédica                     |
preg  |impregnado imprégnala                     |
prehis|prehistoria                               |
prein |preincaico                                |
pren  |prende aprende repréndelo                 |
pres  |presta apresto bauprés                    |
prez  |prez                                      |
pri   |prisa reprime exprímalo                   |
prie  |prieta apriesa apriétala                  |
prin  |pringue princesa príncipe                 |
prio  |priori priora chipriota                   |
prior |prior                                     |
pris  |prisma aprisco prístina                   |
pro   |proa profeta prójimo                      |
proc  |proctología dasipróctido                  |
pron  |pronto impronta aprontar                  |
pros  |prospera proscrito próstata               |
pru   |prusiano prurito prúsico                  |
prue  |prueba pruébalo apruébalo                 |
pu    |puño puro público                         |
pue   |puede pueblo puéblalo                     |
puen  |puente                                    |
puer  |puerta puerco empuércala                  |
pues  |pues puesto apuéstale                     |
puf   |puf                                       |
pug   |pugna repugna expugnar                    |
pul   |pulpa pulga púlpito                       |
pull  |pullman                                   |
pum   |pum                                       |
pun   |punta punce púnzalo                       |
pur   |purga púrpura expurgar                    |
pus   |pus lupus corpúsculo                      |
puz   |capuz chapuz                              |
qua   |exequátur                                 |
que   |que queda pequé                           |
quei  |traqueidas                                |
queis |saquéis toquéis provoquéis                |
quel  |aquel anaquel troquel                     |
quen  |busquen prediquen henequén                |
quer  |quermes quermés alquermes                 |
ques  |saques duques marqués                     |
quet  |quetzal parquet basquetbol                |
quey  |yóquey                                    |
quez  |apoquezca enloquezca apoquézcanla         |
qui   |quiso quicio sequía                       |
quia  |reliquia acequia psiquiátrico             |
quial |braquial bronquial parroquial             |
quian |obsequian soliloquian                     |
quiar |esquiar acequiar obsequiar                |
quias |acequias exequias reliquias               |
quid  |quid                                      |
quie  |quiero quieto quiérelo                    |
quiem |réquiem                                   |
quien |quien acequien obsequien                  |
quier |doquier cualquier izquierda               |
quies |acequies obsequies esquiés                |
quil  |mosquil cachiquil esquílmala              |
quin  |quince quinto quíntuplo                   |
quio  |bronquio obsequio delinquió               |
quios |bronquios obsequios lofobranquios         |
quir  |faquir esquirla delinquir                 |
quis  |quiste conquista malquistar               |
quiu  |braquiuros                                |
quiz  |blanquizco                                |
quo   |quórum                                    |
ra    |ira para dará                             | r débil
ra    |rata rato ráelo                           | r fuerte
rab   |rabdomancia                               | r fuerte
rac   |caracteres aracnoides arácnido            | r débil
rad   |mirad tirad declarádmelo                  | r débil
rai   |raigambre                                 | r fuerte
rai   |samurai aguaraibá adhiráisoslo            | r débil
raid  |raid                                      | r fuerte
rail  |rail                                      | r fuerte
rais  |erais amarais esperáis                    | r débil
rak   |anorak                                    | r débil
ral   |general liberal neurálgica                | r débil
ram   |corambre carambola carámbano              | r débil
ran   |miran eran harán                          | r débil
ran   |rancho rancio                             | r fuerte
rap   |rapto rapsodia                            | r fuerte
rar   |mirar orar tirárselo                      | r débil
ras   |maneras caras dirás                       | r débil
ras   |ras rascar ráscate                        | r fuerte
rau   |arauco araucaria                          | r débil
rau   |raudo raulí                               | r fuerte
rax   |bórax tórax                               | r débil
ray   |caray                                     | r débil
raz   |montaraz lenguaraz alferazgo              | r débil
re    |derecho parece volveré                    | r débil
re    |reyes rebeldes residuos                   | r fuerte
rec   |director erección eréctil                 | r débil
rec   |recta rectangular                         | r fuerte
red   |pared                                     | r débil
red   |red                                       | r fuerte
reg   |tuareg                                    | r débil
regs  |tuaregs                                   | r débil
rehi  |rehiciera                                 |
rehu  |rehusar                                   |
rei   |incorporeidad diréisoslo haréiselo        | r débil
rei   |reino reitera reivindica                  | r fuerte
reim  |reimpresión                               | r fuerte
rein  |reintegra reincorpora reinvertir          | r fuerte
reis  |fuereis oyereis haréis                    | r débil
rel   |jurel laurel cairel                       | r débil
rem   |harem                                     | r débil
rem   |rempujar remplazar                        | r fuerte
ren   |oyeren vieren harén                       | r débil
ren   |rendir                                    | r fuerte
rep   |reptil                                    | r fuerte
rer   |querer querérsele                         | r débil
res   |res resma resto                           | r fuerte
res   |solares vieres interés                    | r débil
ret   |cabaret                                   | r débil
rets  |cabarets                                  | r débil
reu   |reuma reunión reubicar                    | r fuerte
rey   |carey                                     | r débil
rey   |rey                                       | r fuerte
rez   |parezca perezca parézcame                 | r débil
ri    |herida parirá preferí                     | r débil
ri    |riberas rinde río                         | r fuerte
ria   |gloria feria muriático                    | r débil
ria   |riacho riada                              | r fuerte
riai  |riaisos riáisosla                         | r fuerte
riais |riais sonriáis                            | r fuerte
rial  |material imperial historial               | r débil
rian  |variando feriante variándolo              | r débil
riar  |variar gloriar injuriar                   | r débil
rias  |varias ferias sonriás                     | r débil
ric   |rictus                                    | r fuerte
rid   |proferid herid                            | r débil
rie   |ariete muriese muriéramos                 | r débil
rie   |riego riégalo                             | r fuerte
riel  |ariel                                     | r débil
riel  |riel                                      | r fuerte
rien  |oriente apariencia hiriéndolo             | r débil
rien  |riéndose                                  | r fuerte
ries  |aries tories contrariés                   | r débil
ries  |riesgo                                    | r fuerte
riez  |ordinariez                                | r débil
ril   |esmeril estéril tamboril                  | r fuerte
rim   |corimbo marimba chirimbolo                | r débil
rim   |rimbombante                               | r fuerte
rin   |corindón laberinto andarín                | r débil
rin   |rincón rindiose                           | r fuerte
rio   |ario imperio hirió                        | r débil
rio   |riojano rionegrino rióseles               | r fuerte
rion  |esturión satirión centurión               | r débil
riop  |cariópsides                               | r débil
rior  |superior interior exterior                | r débil
rios  |riostra                                   | r fuerte
rios  |varios agrarios perióstico                | r débil
rir   |herir morir morírsele                     | r débil
ris   |aristas pariste turístico                 | r débil
ris   |risco ríspido                             | r fuerte
rit   |aritmética algoritmo logarítmico          | r débil
rit   |ritmo rítmico                             | r fuerte
riun  |oriundo                                   | r débil
rix   |arqueopterix                              | r débil
riz   |nariz cariz                               | r débil
ro    |aro oro juró                              | r débil
ro    |rojo roto romo                            | r fuerte
rock  |rock                                      | r fuerte
rof   |xeroftalmia                               | r débil
roi   |heroico tiroides asteroide                | r débil
roi   |róigala                                   | r fuerte
rol   |charol farol barberol                     | r débil
rol   |roldana                                   | r fuerte
rom   |rombo romper rómpala                      | r fuerte
ron   |ataron asaron tiburón                     | r débil
ron   |roncar rónzalo                            | r fuerte
rop   |neuróptero quiróptero heterópteros        | r débil
ror   |furor superorgánica                       | r débil
ror   |rorcual                                   | r fuerte
ros   |oros loros aeróstato                      | r débil
ros   |rosca rostro                              | r fuerte
round |round                                     | r fuerte ***dudosa
roz   |feroz                                     | r débil
roz   |roznar                                    | r fuerte
rra   |sierra tierra subterráneo                 |
rrai  |arraigar                                  |
rrais |aporráis                                  |
rral  |corral morral matorral                    |
rram  |arramblar                                 |
rran  |errante córranse subterráneo              |
rrar  |errar borrar enterrar                     |
rras  |zorras sierras aguarrás                   |
rraz  |albarraz                                  |
rre   |corre torre querré                        |
rrec  |correcto insurrecto semirrecta            |
rred  |corred barred socorred                    |
rreg  |interregno                                |
rrei  |virreinato querréismela                   |
rreis |querreisla curréis agarréis               |
rrem  |arrempujar irremplazable                  |
rren  |yerren corren horrendo                    |
rrer  |barrer correr recorrer                    |
rres  |borres corres cerrés                      |
rreu  |antirreumático                            |
rrey  |virrey pejerrey                           |
rrez  |aborrezco aborrézcala                     |
rri   |arriba arrimar socorrí                    |
rria  |alcarria descarriado entrerriano          |
rriad |arriad                                    |
rrial |barrial andurrial                         |
rrian |arriándola                                |
rriar |arriar chirriar descarriar                |
rriaz |arriaz                                    |
rrie  |corrieron recorriera arrié                |
rrien |arriendo corriente barriéndolo            |
rries |arriesgado descarriesla arriésgate        |
rril  |cerril barril ferrocarril                 |
rrin  |berrinche arrinconar aserrín              |
rrio  |barrio gorriona recurrió                  |
rrion |gorrión morrión cerrión                   |
rrios |barrios arriostrar                        |
rrir  |ocurrir incurrir ocurrírsele              |
rris  |corriste arriscado pizarrista             |
rrit  |arritmia polirritmo arrítmico             |
rro   |carro arroja desterró                     |
rroi  |corroiga hemorroides corróigalo           |
rrom  |corromper irrompible corrómpelo           |
rron  |morrongo arronquecen desgarrón            |
rror  |error terror horror                       |
rros  |carros perros arrostrar                   |
rrot  |pierrot                                   |
rroz  |arroz                                     |
rru   |arruga arruruz charrúa                    |
rrua  |carruaje                                  |
rruar |arruar                                    |
rrui  |arruinar                                  |
rruir |derruir                                   |
rrum  |herrumbre prorrumpir derrúmbalo           |
rrun  |arrunflar barruntar                       |
rrup  |irrupción corruptor interruptor           |
rrus  |churruscar corrusco                       |
rruz  |arrurruz                                  |
ru    |rugir rumor rúmialo                       | r fuerte
ru    |uruguayo oruga saurúnido                  | r débil
rua   |peruano                                   | r débil
rua   |ruano                                     | r fuerte
ruar  |garuar                                    | r débil
rub   |querub                                    | r débil
ruc   |eructar                                   | r débil
rue   |noruego ciruela viruela                   | r débil
rue   |rueda ruego ruégale                       | r fuerte
rues  |garués                                    | r débil
rug   |rugby                                     | r fuerte
rui   |ruinas ruina ruido                        | r fuerte
ruin  |ruin                                      | r fuerte
rum   |quórum                                    | r débil
rum   |rumbo rumba                               | r fuerte
run   |gerundio saurúnido                        | r débil
run   |runrún                                    | r fuerte
rup   |erupción                                  | r débil
rup   |ruptor                                    | r fuerte
rur   |quirurgia interurbano siderúrgico         | r débil
rus   |rusticidad rústico                        | r fuerte
rus   |virus arúspice                            | r débil
ruz   |arruruz                                   | r débil
s     |smog                                      |***dudosa
sa    |casa cosa sábado                          |
sac   |desactivar transacciones desactualizar    |
sad   |usad pasad alisad                         |
sahu  |sahumerio                                 |
sai   |desáiralo                                 |
